person_id,postcode,state,gender,age,account_type,loyal_customer
750-67-8428,2000,NSW,F,19,credit,TRUE
226-31-3081,2000,NSW,F,22,credit,TRUE
631-41-3108,2000,NSW,M,32,credit,TRUE
123-19-1176,2000,WA,M,32,credit,TRUE
373-73-7910,2000,WA,M,32,credit,TRUE
699-14-3026,2000,WA,M,32,credit,TRUE
355-53-5943,2000,WA,M,32,debit,TRUE
315-22-5665,2000,NSW,M,32,debit,TRUE
665-32-9167,2000,NSW,M,22,debit,TRUE
692-92-5582,2000,NSW,M,22,debit,TRUE
351-62-0822,2000,NSW,M,22,debit,TRUE
529-56-3974,2000,NSW,F,22,debit,TRUE
365-64-0515,2000,NSW,F,42,debit,TRUE
252-56-2699,2000,NSW,F,42,debit,TRUE
829-34-3910,2000,NSW,F,42,debit,TRUE
299-46-1805,2000,NSW,F,19,debit,TRUE
656-95-9349,2000,NSW,F,22,debit,TRUE
765-26-6951,822,NT,F,22,credit,TRUE
329-62-1586,822,NT,F,22,credit,TRUE
319-50-3348,822,NT,F,52,credit,TRUE
300-71-4605,822,NT,M,52,credit,TRUE
371-85-5789,822,NT,M,52,credit,TRUE
273-16-6619,822,NT,M,52,p_loan,TRUE
636-48-8204,822,NT,M,52,p_loan,TRUE
549-59-1358,822,NT,M,52,p_loan,TRUE
227-03-5010,822,NT,M,22,p_loan,TRUE
649-29-6775,822,NT,F,22,p_loan,TRUE
189-17-4241,822,NT,F,17,credit,FALSE
145-94-9061,822,NT,F,42,credit,FALSE
848-62-7243,822,NT,F,42,credit,FALSE
871-79-8483,2000,NSW,F,22,credit,
149-71-6266,2000,NSW,F,22,credit,
640-49-2076,2000,NSW,M,32,credit,
595-11-5460,2000,WA,M,32,credit,
183-56-6882,2000,WA,M,32,credit,
232-16-2483,2000,WA,M,32,credit,TRUE
129-29-8530,2000,WA,M,32,debit,TRUE
272-65-1806,2000,NSW,M,32,debit,TRUE
333-73-7901,2000,NSW,M,22,debit,TRUE
777-82-7220,2000,NSW,M,22,debit,TRUE
280-35-5823,2000,NSW,M,22,debit,TRUE
554-53-8700,2000,NSW,F,22,debit,TRUE
354-25-5821,2000,NSW,F,42,debit,TRUE
228-96-1411,2000,NSW,F,42,debit,TRUE
617-15-4209,2000,NSW,F,42,debit,TRUE
132-32-9879,2000,NSW,F,22,debit,TRUE
370-41-7321,2000,NSW,F,22,debit,TRUE
727-46-3608,822,NT,F,22,credit,TRUE
669-54-1719,822,NT,F,22,credit,TRUE
574-22-5561,822,NT,F,52,credit,TRUE
326-78-5178,822,NT,M,52,credit,TRUE
162-48-8011,822,NT,M,52,credit,TRUE
616-24-2851,822,NT,M,52,p_loan,TRUE
778-71-5554,822,NT,M,52,p_loan,TRUE
242-55-6721,822,NT,M,52,p_loan,TRUE
399-46-5918,822,NT,M,22,p_loan,TRUE
106-35-6779,822,NT,F,22,p_loan,TRUE
635-40-6220,822,NT,F,42,credit,TRUE
817-48-8732,822,NT,F,42,credit,TRUE
120-06-4233,822,NT,F,42,credit,TRUE
285-68-5083,2000,NSW,F,22,credit,TRUE
803-83-5989,2000,NSW,F,22,credit,TRUE
347-34-2234,2000,NSW,M,32,credit,FALSE
199-75-8169,2000,WA,M,32,credit,FALSE
853-23-2453,2000,WA,M,32,credit,FALSE
877-22-3308,2000,WA,M,32,credit,
838-78-4295,2000,WA,M,32,debit,
109-28-2512,2000,NSW,M,32,debit,
232-11-3025,2000,NSW,M,22,debit,
382-03-4532,2000,NSW,M,22,debit,
393-65-2792,2000,NSW,M,22,debit,
796-12-2025,2000,NSW,F,22,debit,
510-95-6347,2000,NSW,F,42,debit,
841-35-6630,2000,NSW,F,42,debit,
287-21-9091,2000,NSW,F,42,debit,
732-94-0499,2000,NSW,F,22,debit,
263-10-3913,2000,NSW,F,22,debit,
381-20-0914,822,NT,F,22,credit,
829-49-1914,822,NT,F,22,credit,
756-01-7507,822,NT,F,52,credit,
870-72-4431,822,NT,M,52,credit,
847-38-7188,822,NT,M,52,credit,
480-63-2856,822,NT,M,52,p_loan,
787-56-0757,822,NT,M,52,p_loan,
360-39-5055,822,NT,M,52,p_loan,
730-50-9884,822,NT,M,22,p_loan,
362-58-8315,822,NT,F,22,p_loan,
633-44-8566,822,NT,F,42,credit,
504-35-8843,822,NT,F,42,credit,
318-68-5053,822,NT,F,42,credit,TRUE
565-80-5980,2000,NSW,F,22,credit,TRUE
225-32-0908,2000,NSW,F,22,credit,TRUE
873-51-0671,2000,NSW,M,32,credit,TRUE
152-08-9985,2000,WA,M,32,credit,TRUE
512-91-0811,2000,WA,M,32,credit,TRUE
594-34-4444,2000,WA,M,16,credit,TRUE
766-85-7061,2000,WA,M,32,debit,TRUE
871-39-9221,2000,NSW,M,32,debit,TRUE
865-92-6136,2000,NSW,M,22,debit,TRUE
700-67-0000,2000,NSW,M,22,debit,TRUE
206-31-0000,2000,NSW,M,22,debit,TRUE
601-41-0000,2000,NSW,F,22,debit,TRUE
103-19-0000,2000,NSW,F,42,debit,TRUE
303-73-0000,2000,NSW,F,42,debit,TRUE
609-14-0000,2000,NSW,F,42,debit,TRUE
305-53-0000,2000,NSW,F,22,debit,TRUE
305-22-0000,2000,NSW,F,22,debit,TRUE
605-32-0000,822,NT,F,22,credit,TRUE
602-92-0000,822,NT,F,22,credit,TRUE
301-62-0000,822,NT,F,52,credit,TRUE
509-56-0000,822,NT,M,52,credit,TRUE
305-64-0000,822,NT,M,52,credit,TRUE
202-56-0000,822,NT,M,52,p_loan,TRUE
809-34-0000,822,NT,M,52,p_loan,TRUE
209-46-0000,822,NT,M,52,p_loan,TRUE
